Method,Approach,Solver,Objective,Time,Status,User_time,NT
MINLP,bigm,sbb,2.7951334062651054,181.49400022812188,optimal,NA,21
MINLP,hull,sbb,2.795133416396815,63.24300023261458,optimal,NA,21
GDPopt,LOA,msnlp,2.7951334164003176,43.90613909997046,optimal,NA,21
GDPopt,GLOA,msnlp,2.7951334164003176,902.082268900238,maxTimeLimit,NA,21
GDPopt,LBB,msnlp,9.894736841169843,900.4856712999754,maxTimeLimit,NA,21
GDPopt,LOA,knitro,9.894737000459953,487.6862404998392,optimal,NA,21
GDPopt,GLOA,knitro,9.894737000459953,490.1145844999701,optimal,NA,21
GDPopt,LBB,knitro,9.894736841169843,900.5312752001919,maxTimeLimit,NA,21
GDPopt,LOA,baron,2.8594647959699566,40.13379210000858,optimal,NA,21
GDPopt,GLOA,baron,2.795133394940695,900.3109463001601,maxTimeLimit,NA,21
GDPopt,LBB,baron,9.894736841169843,900.2256728000939,maxTimeLimit,NA,21
MINLP,bigm,antigone,nan,0.1480001024901867,infeasible,NA,23
MINLP,hull,antigone,2.8731402262669685,899.9969999073073,optimal,NA,23
MINLP,bigm,baron,2.787709968299138,900.376999983564,optimal,NA,23
MINLP,hull,baron,2.787709931273907,900.2350002760068,optimal,NA,23
MINLP,bigm,scip,2.7877096827471193,901.2660001404583,optimal,NA,23
MINLP,hull,scip,2.7951315748680243,900.8370005059987,optimal,NA,23
MINLP,bigm,dicopt,2.787709957151497,601.5040001599118,optimal,NA,23
MINLP,hull,dicopt,2.7994064251072937,902.2779999068007,optimal,NA,23
MINLP,bigm,sbb,2.7877099897011695,208.28800031449646,optimal,NA,23
MINLP,hull,sbb,2.787709976002925,84.62399973068386,optimal,NA,23
GDPopt,LOA,msnlp,3.561958638316759,13.549167499877512,optimal,NA,23
GDPopt,GLOA,msnlp,2.7877099107934025,900.354428099934,maxTimeLimit,NA,23
GDPopt,LBB,msnlp,9.894736842105251,900.1675526001491,maxTimeLimit,NA,23
GDPopt,LOA,knitro,9.894736856808004,718.195891499985,optimal,NA,23
GDPopt,GLOA,knitro,9.894736856808004,718.7734946999699,optimal,NA,23
GDPopt,LBB,knitro,9.894736842105251,900.2642491003498,maxTimeLimit,NA,23
GDPopt,LOA,baron,3.5461656127309644,6.447389299981296,optimal,NA,23
GDPopt,GLOA,baron,2.78770868309315,904.5082656000741,maxTimeLimit,NA,23
GDPopt,LBB,baron,9.894736842105251,900.2550871996209,maxTimeLimit,NA,23
MINLP,bigm,antigone,nan,0.13899982441216707,infeasible,NA,24
MINLP,hull,antigone,2.8594656076335565,900.2129996661097,optimal,NA,24
MINLP,bigm,baron,2.784465575575803,900.1189999748021,optimal,NA,24
MINLP,hull,baron,2.7844655754404224,900.2169997198507,optimal,NA,24
MINLP,bigm,scip,2.784465332586624,902.4680002592504,optimal,NA,24
MINLP,hull,scip,2.784465573422307,901.5020001679659,optimal,NA,24
MINLP,bigm,dicopt,2.7951334151664544,903.2739994581789,optimal,NA,24
MINLP,hull,dicopt,3.636880226889937,8.590000052936375,optimal,NA,24
MINLP,bigm,sbb,2.7844653816935447,311.3200003048405,optimal,NA,24
MINLP,hull,sbb,2.7844655754835466,85.5810001725331,optimal,NA,24
GDPopt,LOA,msnlp,3.5619588653324596,13.470934399869293,optimal,NA,24
GDPopt,GLOA,msnlp,2.784465575599071,903.0820625000633,maxTimeLimit,NA,24
GDPopt,LBB,msnlp,9.894736842105212,900.5613690000027,maxTimeLimit,NA,24
GDPopt,LOA,knitro,9.89473687140748,857.916011299938,optimal,NA,24
GDPopt,GLOA,knitro,9.89473687140748,859.2046695002355,optimal,NA,24
GDPopt,LBB,knitro,9.894736842105212,900.4555565002374,maxTimeLimit,NA,24
GDPopt,LOA,baron,3.561943790271527,18.244798000436276,optimal,NA,24
GDPopt,GLOA,baron,2.7844653113086326,906.642605799716,maxTimeLimit,NA,24
